LMF6L;4,000;6,000;0,000;12,000;0,000;35,000;0,000;28,000;0,000;5,000;20,000;3.4×6.5×3.3;15,000;15,000;–5;324,000;529,000;32,000
LMF8L;4,000;8,000;-0,010;15,000;-0,013;45,000;-0,200;32,000;-0,200;5,000;24,000;3.4×6.5×3.3;15,000;15,000;–5;431,000;784,000;53,000
LMF10L;4,000;10,000;;19,000;0,000;55,000;;39,000;;6,000;29,000;4.5×8×4.4;15,000;15,000;–5;588,000;1100,000;105,000
LMF12L;4,000;12,000;;21,000;-0,016;57,000;;42,000;;6,000;32,000;4.5×8×4.4;15,000;15,000;–5;657,000;1200,000;100,000
LMF13L;4,000;13,000;;23,000;;61,000;;43,000;;6,000;33,000;4.5×8×4.4;15,000;15,000;–7;814,000;1570,000;130,000
LMF16L;5,000;16,000;;28,000;;70,000;;48,000;;6,000;38,000;4.5×8×4.4;15,000;15,000;–7;1230,000;2350,000;187,000
LMF20L;5,000;20,000;0,000;32,000;0,000;80,000;;54,000;;8,000;43,000;5.5×9.2×5.4;20,000;20,000;–9;1400,000;2750,000;260,000
LMF25L;6,000;25,000;-0,012;40,000;-0,019;112,000;0,000;62,000;;8,000;51,000;5.5×9.2×5.4;20,000;20,000;–9;1560,000;3140,000;515,000
LMF30L;6,000;30,000;;45,000;;123,000;-0,300;74,000;;10,000;60,000;6.6×11×6.5;20,000;20,000;–9;2490,000;5490,000;655,000
LMF35L;6,000;35,000;0,000;52,000;0,000;135,000;;82,000;;10,000;67,000;6.6×11×6.5;25,000;25,000;–13;2650,000;6270,000;970,000
LMF40L;6,000;45,000;-0,015;60,000;-0,022;154,000;;96,000;0,000;13,000;78,000;9×14×8.6;25,000;25,000;–13;3430,000;8040,000;1560,000
LMF50L;6,000;50,000;;80,000;;192,000;;116,000;-0,300;13,000;98,000;9×14×8.6;25,000;25,000;–13;6080,000;15900,000;3500,000
LMF60L;6,000;60,000;0,000;90,000;0,000;211,000;;134,000;;18,000;112,000;11×17.5×10.8;25,000;25,000;–13;7650,000;20000,000;4500,000
